title,price,link_item,index,discount,sales
Tinh dầu bạc hà 30ml,139.000₫,https://tiki.vn/tinh-dau-bac-ha-30ml-p52031890.html?spid=52031891,1,-48%,Đã bán 57
Máy Xông Tinh Dầu Cao Cấp Chuyên Dụng Khuếch Tán Tinh Dầu Và Tạo Độ Ẩm Cho Gia Đình Và Văn Phòng,278.000₫,https://tiki.vn/may-xong-tinh-dau-cao-cap-chuyen-dung-khuech-tan-tinh-dau-va-tao-do-am-cho-gia-dinh-va-van-phong-p68174057.html?spid=68174059,2,-37%,Đã bán 146
"Máy Xông Tinh Dầu Thiên Phúc, Dòng Máy Chuyên Dụng, Vân Gỗ Siêu Cao Cấp - Máy Khuếch Tán Tinh Dầu Lan Tỏa Hương Thơm Đèn LED Màu Sắc Tuyệt Đẹp",271.150₫,https://tiki.vn/may-xong-tinh-dau-sieu-cao-cap-van-go-kem-remote-dieu-khien-tu-xa-may-khuech-tan-tinh-dau-lan-toa-huong-thom-den-led-mau-sac-tuyet-dep-p72182869.html?spid=130812796,3,,Đã bán 35
"Tinh dầu Gừng nguyên chất từ thiên nhiên, Thơm Phòng, Khử Mùi, Kháng Khuẩn, Đuổi Muỗi, Giữ Ấm - KingOil",65.000₫,https://tiki.vn/tinh-dau-gung-nguyen-chat-tu-thien-nhien-thom-phong-khu-mui-khang-khuan-duoi-muoi-giu-am-kingoil-p116393190.html?spid=116393192,4,-49%,Đã bán 11
,,https://tiki.vn/tinh-dau-hoa-nhai-tidamo-100ml-nhap-khau-co-kiem-nghiem-huong-thom-diu-nhe-quy-phai-tinh-dau-hoa-lai-jasmine-xong-thom-phong-thu-gian-va-tot-cho-suc-khoe-p158091977.html?spid=158882266,5,-50%,
"Combo 5 hộp (hộp/1gr) nhụy hoa nghệ tây Kingdom Herb, saffron Iran chính hãng super negin thượng hạng (Tặng hộp saffron mật ong 40g và bình nước thủy tinh)",995.000₫,https://tiki.vn/combo-5-hop-saffron-kingdom-nhuy-hoa-nghe-tay-iran-loai-super-negin-thuong-hang-hop-1-gram-p10405273.html?spid=10405274,6,-44%,Đã bán 254
"Tinh Dầu Xông Phòng VỎ BƯỞI 50ML Nguyên Chất Nhập Khẩu - Tinh dầu Bưởi TIDAMO Giúp Bảo Vệ Sức Khỏe, Kháng Khuẩn,Thư Giãn Tinh Thần và Khử Mùi Hiệu Quả",128.000₫,https://tiki.vn/tinh-dau-xong-phong-vo-buoi-50ml-nguyen-chat-nhap-khau-tinh-dau-buoi-tidamo-giup-bao-ve-suc-khoe-khang-khuan-thu-gian-tinh-than-va-khu-mui-hieu-qua-p77150450.html?spid=77150451,7,-50%,Đã bán 214
Tinh dầu hoa Sen Trắng 10ml Mộc Mây - tinh dầu thiên nhiên nguyên chất 100% - chất lượng và mùi hương vượt trội - Có kiểm định,75.000₫,https://tiki.vn/tinh-dau-hoa-sen-trang-10ml-moc-may-tinh-dau-thien-nhien-nguyen-chat-100-chat-luong-va-mui-huong-vuot-troi-co-kiem-dinh-p55564097.html?spid=55564098,8,-4%,Đã bán 289
Nến thơm tinh dầu cao cấp không khói an toàn Candle Cup - TWILIGHT/CHẠNG VẠNG - M - 200G (CÓ NẮP),220.000₫,https://tiki.vn/nen-thom-tinh-dau-cao-cap-khong-khoi-an-toan-candle-cup-twilight-chang-vang-m-200g-co-nap-p118896570.html?spid=118896571,9,-50%,Đã bán 761
,,https://tiki.vn/tinh-dau-tram-organic-huu-co-50ml-moc-may-tinh-dau-thien-nhien-nguyen-chat-100-dung-xong-tam-ngua-cam-lanh-giam-con-trung-can-dot-cho-be-tre-so-sinh-va-tre-nho-an-toan-cho-lan-da-nhay-cam-cua-be-p54716510.html?spid=54716512,10,,
Tinh dầu gỗ thông đen Lorganic Pine black 10ml/ Hương thơm ấm nồng/ Tinh dầu thiên nhiên nguyên chất xông phòng/ Thư giãn tinh thần/ Thích hợp dùng với đèn xông và máy khuếch tán.,45.000₫,https://tiki.vn/tinh-dau-go-thong-den-lorganic-pine-black-10ml-p17595716.html?spid=17595717,11,-60%,Đã bán 390
"Tinh dầu Bưởi Chùm (bưởi Hồng, bưởi Úc) 10ml Mộc Mây - tinh dầu thiên nhiên nguyên chất 100% - chất lượng và mùi hương vượt trội",58.000₫,https://tiki.vn/tinh-dau-buoi-chum-buoi-hong-buoi-uc-10ml-moc-may-tinh-dau-thien-nhien-nguyen-chat-100-chat-luong-va-mui-huong-vuot-troi-p55424928.html?spid=55424930,12,-55%,Đã bán 70
,,https://tiki.vn/5-bong-den-thay-the-cho-den-xong-tinh-dau-loai-35w-220v-p54564836.html?spid=54564837,13,-48%,
Tinh Dầu Trà Trắng Aroma Works Essential Oils White Tea,136.000₫,https://tiki.vn/tinh-dau-tra-trang-aroma-works-essential-oils-white-tea-p54150630.html?spid=54150632,14,,Đã bán 69
"Tinh dầu Sả Chanh 50ml nguyên chất từ thiên nhiên, An Toàn Cho Trẻ, Thơm Phòng, Khử Mùi, Kháng Khuẩn, Đuổi Muỗi, Giải Cảm - KingOil",99.000₫,https://tiki.vn/tinh-dau-sa-chanh-50ml-nguyen-chat-tu-thien-nhien-an-toan-cho-tre-thom-phong-khu-mui-khang-khuan-duoi-muoi-giai-cam-kingoil-p116167255.html?spid=116167256,15,-50%,Đã bán 10
