title,price,link_item,index,discount,sales,brand
Máy Lọc Nước RO Không Vỏ Tủ Kangaroo KG109A 9 Lõi - Hàng Chính Hãng,4.970.000₫,https://tka.tiki.vn/pixel/pixel?data=zxcV2jSJcsYvg1R6xiAsmMql3uAs8_jhGG1ghQ9TIgwnfO9klYFfgQrFe29gL1QA4PoeV9A71hAsqnkdgiR1k82tVTFxL34Fcy2cBBXOnFel8fBqsODjyZfleuTzhK7rBYM_7igNt0h1FFmwRy_RJ3ivq1SIyIyeDUuS9MGdIvpyjpzmr6ZsC1zTSF3SbYXE6BnOWV3LJ9Skw-tdDTIilX_v3V6eCHJj2zGP6t2BVmcycYf5OlWfPSTkfgZeAyofoXt8-XnzoLxYEMHtQ3OA5uzFJf9gNaVHNkxF7bferhu8CVYOodmh-RfTOwqishnSBCWS7lGR-CcuTmTjnv11MYk-mbwkAU6CN02yORKFnifP0PN1R7F5WDOaCkrlFz11H3GFnw5k9uQ_fA3A74jl-Da8Pz4XW61cS8T-VinGIPzpZsfYMQ9vnpITD1VEQst6qyjcJZLQxDzHupI2BqrHZ5pvsjYXR5OeQuBFIN7UrjzQliJ9YWYitm-JjeHaJMN6PEMYMozpMCLFB1-Ncou-3Y1U9wNseazSTcewLwgieaFp8IraCbB-9g-6RV7A7Fizw2zpKg4BGyb8t_tl0YTVNLKT3AOO326D1lw9ud7IIT24wS03TGb0sJLtOvQSB3o1OqXFVCyBOus8L3aaVcepAhvfkaf-IqNJxgWEeaQAanAjJ8APBhtv4aY9GOL5Nfcg8Ay3R910c1iWq6_VvNxanGLfyDI2oMVZkTJSLUWr3aot6D55Fs80yssFsgFZ-mmRLfduDbX4UJeQ9dxyDAc7t5KVxqgeOD2klxzI3XTBzsqNo7F5RleBrJIaY7oOJtFF2Rk_Kfu95Sjfo6VY7VZM9duz8MRivxu4Wt4Li7zf1JAcY5r9uDSXBIbRJSUymfgzsE1PDC2NtEwz1SxaeRfSAmK0dC-zdmJC12_dQXbNcbD4dmIw6WNb46WXMcznoeZgU3jY3bH5xcUKtceHHolEGC34PfbptDEhRiYB8f36kypIfOeNZ9LqSzyxD9bU0NevTAiL5IqQL1ZaVDX5an4yp3yZL7eVgmg2oDed8WCzVVewoItufjrxfinv65M5vfc6OSn_DYsOYvGmnUPKEilR2vYJY7olEjgFo1xNwyGmY7MPgzKb_O49lmMO8R2MstCxLobYVACO8h3GiZaVOiCHlWw_6JGVNomczEY3jSHyvTa9qneH8qYsc4E0CKnY9jxx1UyALc1mRr9LKhR7u3LKv-miGFGvvBare809UeAK6lr0iyLlH1d-rmK0KwuqzfCAtd1gs8lxGgwpE0Q447-27WWUIqDpoWI&reqid=bHoVyk9OM3ASQa63&type=CLICK&pos=41,1,-75%,Đã bán 92,Kangaroo
Máy Lọc Nước RO Hydrogen Ion Kiềm Kangaroo KG100ES 7 Lõi - Hàng Chính Hãng,3.199.000₫,https://tka.tiki.vn/pixel/pixel?data=6ry5MwfbporOfDWaGsYIRI3wPGG2KS9ZTvowjtyUkAYjJvJmFd-X-oPq8EvOqM10D85_Fs5SDosLL4H5R86s3teCmK7znGVJUN43PWBj5w0Bm0abqqLTn8uUBGhaZg-n4Io1w8DvSKV2FLl7DMvuZGYSnWfAN7nAA332GiEhEdeGySK08lFZk71hrDyjqhZGEEgzw1c1Pn9XgilTWx-MveMocosgpB-e8pgyrwHivhgBePDhKfFRwrr9r1wNyPDyJVEYpzpKeMzKBMPvkG7kmYPNuSuJ_YcdWSVJ9cbjrCdEUKzsrWupEQ7UczbgPrF_AlOZg-p-LZXTY6mrHh1H7_nMiEamW5_H26JqHlWAvfSYmtTR_rJktp9NzKT7h46pyKHG1kALxYE7s3W80avErI8Vzl9Y2-UFZ48jug0vl6boImhGfT0O_ESx03QdVH1rXlUmEc2tYs8Jr98OQk81ptXYht7KAUYYWOMWnuJNEcHAKdE00ZCTLoZmY8proeZgTcKxM3IA-0NomFkIeAVMFmKkKzxZjVLdBvKlwNqwv8NCIHqEhrYUq1-B52zzbYJGKgJk9ksW5sigklODUyuzbaIWv8qOY8CAzIYzgVlC5DTEwh8Uqcz1MnX0FGjOUYAIUo9kLvwDgFu888NHH_xW1inl5KPZgBJNygozFNZ28cuCLR5PcpWMVpquBOgeriGefMBeDBeEisS_0GGVPv0cVbVvIps_zXtnOnPq1P29JyrX1PNGEHCBD0BCnNj91KLHRtNNNwWBDxHkOu6DnXmpZCxTLxsXx8N9Hyyh43uHcMcOxLhAgAzi1V4chww5rA67zJXSkNE-a59DW0vMmMK5PUb4ieQQC_8cFXGaRRd46mzbNDnxzBH2FaZfLuXXiAKBmxfz-VvXjWUvn_AQ2kWbywz--9GTFgFGd3nqadPgJZcxavK-hX3cHCqWGT0wEaj1-aPbPxHP-7XHAzfPTvGdXDF2TBvicl5g_GvmwQ1yCpvmn1xeHnIbNCjSUh5ttvktGGVWKR4emSbAOQxCpnsAFvHz__ssuToBRuvQTlTiqfetF8rj9V45-TT-5Qu0ZndGQK6t9lwrA2NLU0XErJIUP6CYXlHmjBUh_VveZAZyQZQ85BYCkOJdeoRqOvITa9coV2piq0TW0e-m2V6M9wpDpBVy_jNTrOHLarJoO7BKe0jhxVnfMtcuQr_GHuyJxe6mvFeujkq3PHVTnyDoL5LvV63b0UAIQlA0IXn1U2myzJjyHKhkB63XM81zaZLmsf6RsQmm0QmrkPvjVSc-QSDVoIdLtpsdZA&reqid=bHoVyk9OM3ASQa63&type=CLICK&pos=42,2,-55%,Đã bán 41,Kangaroo
Máy Lọc Nước RO Kangaroo VTU KG108A 8 Lõi - Hàng Chính Hãng,3.379.000₫,https://tka.tiki.vn/pixel/pixel?data=F2gb0Hj3cw2q5Upzw0Z3RilrLp-MhRq5kYRMDe8Fhx1SzED45W2eJ9aJV64Tn3Q69_GTbvKZwhMB_xULhscY_WeTQEN4jA-hdLw5are41_ZhmMNsAwQYKjuHkCvFmRvYSErxGd1wI-_QVR8U1Fq0aZwlRgguLtrmCqEit3wPzbXKGXoFfNjEO3148XKZOqkrkZ1vHhzIvBicDXOwtUEOwk7m_P4MPmzmZpakax211JwgArijyYX3-ai-B9pk15AK9nw8U9bsksN0hWL7UPFFQkJjAiFs_YtPIfpk1IDjV_b4-Qbjep6OsggrO_WDPEZNe5BASrRRd51A5GOJ_pAptRnkHanHrFqT5DnkNmfskKbd_5fMS4vIFvLwjugkZ1V4CDUvGElr7CbApd7zsftz3XP4aFAlJUDUXhi2EK9yHP5Mc4YxLofciaLFcciRjHaejaKkuhcX1X0sVu1ti8Jc2a2xlBg3Bemp0ewBjhlzWPDm5cKTz-qLYENbJFm9HRFHcr-G1M-bHcFlfy6eaLbjPHViQKo5Y_WNyIBdKDclUIfd0Eu4j5fymgpnlIE_w9RveHpYATT6jAkjvNfnLsBbuhVLAQ6FIJt6U14w-EpPE536CVScwbnXIGbG7zM18O06cVo0ndi3YEKbMrg7dYiY20cgtJECBfFej219nTbGcolOxEIOigcUWSm-15O-9jnuAcH3kxV7lU9M9UKe9dQrIPTx0dJI4Wm3fxeqp38vyHM4stMEKHGBw5h5Pw36zqzj8kC-MvnS2AP8UeYAyswfDzLmDaschrmBf5zd_Vj8Uh4S21p_EPjcQMdgJGEjcI9FhOzsh0zVEZTo_5UK94GHvz3O2BXmEn7FGzJ_D9rIdafwHBUI9_TJozgWToNqSDZsu-RZ6pWIvMhdyRfPqMJyRsJnmkKW0nbyxm5LEMlYQDB-BvbKAT19X15Sp2Av5_RT58h8CKXESHLCWxj0ZTX4JXkyfhaoFrM8KN1pPK28e8dxOog6THGaV8JXnGi_N_8D2A7Pxo4XBSDZ5dzNOSUQZFFZt_jX-OY9pd0yjDa82HJVqaogA8cfn2-haZQzrguEMET_wmsegA0_oTWkP0JKVxzwhWyUAa4-wZvGbRIElyO55QORHWPfHc0Ft3HoO-RJkRzVtmtFmoOG7lxexWWwL5tJANghJZejJB9GsQrdE5FO6HdKBr1wkkJ7wnLrgOLCEtdxauXC9RJMwuVx5Dtxs5pbohsUQ6E-dNvje0q51Aoa0aV5rHVJyyOFxTMZgMuEdCd0fo8&reqid=bHoVyk9OM3ASQa63&type=CLICK&pos=43,3,,Đã bán 948,Kangaroo
Bếp Điện Từ Đôi Kangaroo KG498N (3100W) - Hàng chính hãng,2.159.000,https://tka.tiki.vn/pixel/pixel?data=R2YgtsLXgfhslFJ2bqA0lfx95f9ly7D8HZw2JKJfasfapmUr61pLKaxFdU3AxrxDTzLIe1MMs426P8rpdoHB4Zqh6egYOWOa-BDG4CAE8yYjS-aL23ADa3ls16f9A0aDLG940sH-EicN5fmKFuvpk4k9YrpcS2-N0D5J2oesmNZK92Bj8r8ljulb5NvXD29sp_HhenjSzb2L9XHAJ8BJVRNCMukfqCtZJhOwWafLaXGTumQvWRS8cxlkxxUmznkuMlLIXziknJOvj1MadifFbhuPmuz0W4p9caWVU9_3a8sH4_RtxZXX_26EaVvE8TV3vUK4fUYMzaJfvkrHfaKFWIIy8OevdeDQR6b7Xjw7YkEclOJq2twmfakRKlQVbqgORp-1gZhuifuv0ef7_hSU6OEM1h8OtBMB56GrlNeNBELqYtdJNBttSQNvO3sKTIuXFZrcBzg7g3Rv_1GV9OlV0Y8LgqWGA7m4ivppYDk06su5Hpn3gUOBT1YNVDp8Soc8S8b4gKgDV0wk7iod7C_W5t-YqOLY93ViIkC33xQS5KZi8dgCF-ueXM0j6TwtVGas7uww1nfwu9fliJkZ6mM6TsArNU-x_cCUkSbmOqGTBG6f3n825ZdYslcfeYpisXhJtOKWpm0R0CJgTMpbECYEiIx9-bW545yBcEF3zlDTsh1JH2GerGkBLvoX7bBxxKMGUk-qn6ZtsNbHIb9e9OznKNN3gVGkCus-9fcsfIhLW7WfPG9FbK4QbzU1GzUuUD9Ti2-YTSkGpz_rVkbSGVcOztVxHubcmMRxUCpbbpW_K6NN0_AN4KKVBv4jUvWSE2Ye8rENdsMuc8E9Iy0evjPdChlB41qppXBCy9syEMK3YfAuznVcwaTPnR2KV62KOTwxxxIh3m8GQwj4fNcfXSqJWcft_L_Lo18AoxB5nG-voQmN2dBnSfRKqnas-yboG1Dg7C7JpnA3IepIpYdrAiU4umJ05dY0-aPX_sDkD0VaG5M7Tj0ArVW-iXF7i3mqHKUqJ-MotwVCu6LIhhIbQBKP3IsR-SSNA-3B9JXhrLkK-iVg_8sJBWHag4zHipFl_sjT1qfQMGWiQmuwzVfTLw8aL2ve2FLDJYMjBwVWsWRCUKd9oFXqFlJkXTHZ6zUcxix406cIHMA1Oe2ijhLSL9jfRGfEtTl735522TAND2dhqR1gJrTDJtN7D4rfNshs2PNlHySBpY5weXp0Pycp8B8IzViBhl6990PcG5kT_ApYgSegLFXKmpAPyyudPoUM642mY1dYvg&reqid=bHoVyk9OM3ASQa63&type=CLICK&pos=44,4,-5%,,Kangaroo
,,https://tiki.vn/may-loc-nuoc-ro-hydrogen-kangaroo-kg100hg-vo-tu-vtu-10-loi-hang-chinh-hang-p29108052.html?spid=74741427,5,-5%,,Kangaroo
Combo bộ lọc thô Kangaroo lõi 123 dùng cho máy lọc nước Kangaroo - Hàng chính hãng,187.150₫,https://tiki.vn/combo-2-bo-loc-tho-kangaroo-loi-123-dung-cho-may-loc-nuoc-kangaroo-hang-chinh-hang-p273118893.html?spid=273118895,6,,Đã bán 2,Kangaroo
Quạt treo tường Kangaroo KG724 - Hàng chính hãng,1.200.000₫,https://tiki.vn/quat-treo-tuong-kangaroo-kg724-hang-chinh-hang-p162870017.html?spid=162870018,7,,Đã bán 3,Kangaroo
Lõi Số 1 - 10'' PP - 5 micro Kangaroo K28 - Hàng chính hãng,27.550₫,https://tiki.vn/loi-so-1-10-pp-5-micro-kangaroo-k28-hang-chinh-hang-p13822784.html?spid=214595807,8,-27%,Đã bán 11,Kangaroo
LÕI LỌC NƯỚC KANGAROO SỐ 6 NEW 2018 - Hàng Chính Hãng,290.000,https://tiki.vn/loi-loc-nuoc-kangaroo-so-6-new-2018-hang-chinh-hang-p44303182.html?spid=97255202,9,,,Kangaroo
,,https://tiki.vn/loi-loc-nuoc-so-7-kangaroo-alkaline-hang-chinh-hang-p92487984.html?spid=97255210,10,-2%,,Kangaroo
